Dataset,sim_bb,sim_bola,sim_quetra,sim_rmpc,sim_bs,sim_mfd,sim_eoh
FCC-16,25.3780,32.5177,33.8279,36.5629,44.9144,42.6627,36.9687
FCC-18,131.5483,123.4219,122.8544,143.3089,149.2374,146.2256,144.6240
Oboe,82.7409,81.0217,82.4154,96.1460,103.6912,99.4575,97.0093
Puffer-21,-6.0548,38.3533,41.9423,34.1316,67.6905,67.4503,53.4161
Puffer-22,13.2802,30.9956,36.3128,36.8984,50.5073,50.9173,43.6926
HSR,138.8655,137.0288,132.4260,122.3751,165.9045,168.2981,143.8383
Norway3G,-860.5227,-411.1457,-227.3336,-318.1106,-245.1929,-258.9434,-
Lumos4G,1255.9176,1200.0566,714.3491,1283.0571,1456.2170,1451.0430,-
Lumos5G,1726.6622,1614.4054,1184.5270,1696.7703,1839.6757,1839.6757,-
SolisWi-Fi,429.3475,477.0833,426.0833,589.6458,656.6875,661.3743,-
Ghent,834.3037,912.3910,576.2250,1075.1798,1245.1957,1198.2126,-
Lab,1429.2227,1342.6393,987.0082,1527.8413,1636.2213,1626.8260,-
ABRBench-3G (avg),64.2930,73.8898,74.9631,78.2371,96.9909,95.8353,86.5915
ABRBench-4G+ (avg),802.4885,855.9050,610.1432,975.7306,1098.1340,1086.3647,-
Overall (avg),433.3908,464.8974,342.5532,526.9839,597.5625,591.1000,86.5915
